chart_id,chart_type,measures,png_path,svg_path
048_stacked_bar,stacked_bar,Utility services shut-off threat in the past 12 months among adults,charts/png/048_stacked_bar.png,charts/svg/048_stacked_bar.svg
049_simple_bar,simple_bar,Mammography use among women aged 50-74 years,charts/png/049_simple_bar.png,charts/svg/049_simple_bar.svg
050_stacked_bar,stacked_bar,Diagnosed diabetes among adults,charts/png/050_stacked_bar.png,charts/svg/050_stacked_bar.svg
051_simple_bar,simple_bar,Visited dentist or dental clinic in the past year among adults,charts/png/051_simple_bar.png,charts/svg/051_simple_bar.svg
052_simple_bar,simple_bar,Independent living disability among adults,charts/png/052_simple_bar.png,charts/svg/052_simple_bar.svg
053_grouped_bar,grouped_bar,Taking medicine to control high blood pressure among adults with high blood pressure | Lack of social and emotional support among adults,charts/png/053_grouped_bar.png,charts/svg/053_grouped_bar.svg
054_simple_bar,simple_bar,Colorectal cancer screening among adults aged 45–75 years,charts/png/054_simple_bar.png,charts/svg/054_simple_bar.svg
055_simple_bar,simple_bar,Received food stamps in the past 12 months among adults,charts/png/055_simple_bar.png,charts/svg/055_simple_bar.svg
056_grouped_bar,grouped_bar,Lack of social and emotional support among adults | Obesity among adults,charts/png/056_grouped_bar.png,charts/svg/056_grouped_bar.svg
057_simple_bar,simple_bar,Food insecurity in the past 12 months among adults,charts/png/057_simple_bar.png,charts/svg/057_simple_bar.svg
058_simple_bar,simple_bar,Current lack of health insurance among adults aged 18-64 years,charts/png/058_simple_bar.png,charts/svg/058_simple_bar.svg
059_stacked_bar,stacked_bar,Visited dentist or dental clinic in the past year among adults,charts/png/059_stacked_bar.png,charts/svg/059_stacked_bar.svg
060_simple_bar,simple_bar,Binge drinking among adults,charts/png/060_simple_bar.png,charts/svg/060_simple_bar.svg
061_simple_bar,simple_bar,Hearing disability among adults,charts/png/061_simple_bar.png,charts/svg/061_simple_bar.svg
062_simple_bar,simple_bar,Chronic obstructive pulmonary disease among adults,charts/png/062_simple_bar.png,charts/svg/062_simple_bar.svg
063_stacked_bar,stacked_bar,Colorectal cancer screening among adults aged 45–75 years,charts/png/063_stacked_bar.png,charts/svg/063_stacked_bar.svg
064_grouped_bar,grouped_bar,Chronic obstructive pulmonary disease among adults | Diagnosed diabetes among adults,charts/png/064_grouped_bar.png,charts/svg/064_grouped_bar.svg
065_simple_bar,simple_bar,Colorectal cancer screening among adults aged 45–75 years,charts/png/065_simple_bar.png,charts/svg/065_simple_bar.svg
066_simple_bar,simple_bar,Hearing disability among adults,charts/png/066_simple_bar.png,charts/svg/066_simple_bar.svg
067_simple_bar,simple_bar,Stroke among adults,charts/png/067_simple_bar.png,charts/svg/067_simple_bar.svg
068_grouped_bar,grouped_bar,Depression among adults | Any disability among adults,charts/png/068_grouped_bar.png,charts/svg/068_grouped_bar.svg
069_stacked_bar,stacked_bar,Cancer (non-skin) or melanoma among adults,charts/png/069_stacked_bar.png,charts/svg/069_stacked_bar.svg
070_stacked_bar,stacked_bar,No leisure-time physical activity among adults,charts/png/070_stacked_bar.png,charts/svg/070_stacked_bar.svg
071_grouped_bar,grouped_bar,Visits to doctor for routine checkup within the past year among adults | Lack of reliable transportation in the past 12 months among adults,charts/png/071_grouped_bar.png,charts/svg/071_grouped_bar.svg
072_stacked_bar,stacked_bar,Chronic obstructive pulmonary disease among adults,charts/png/072_stacked_bar.png,charts/svg/072_stacked_bar.svg
073_simple_bar,simple_bar,Lack of social and emotional support among adults,charts/png/073_simple_bar.png,charts/svg/073_simple_bar.svg
074_grouped_bar,grouped_bar,Chronic obstructive pulmonary disease among adults | Visited dentist or dental clinic in the past year among adults,charts/png/074_grouped_bar.png,charts/svg/074_grouped_bar.svg
075_grouped_bar,grouped_bar,Self-care disability among adults | Short sleep duration among adults,charts/png/075_grouped_bar.png,charts/svg/075_grouped_bar.svg
076_grouped_bar,grouped_bar,Frequent mental distress among adults | Stroke among adults,charts/png/076_grouped_bar.png,charts/svg/076_grouped_bar.svg
077_stacked_bar,stacked_bar,Received food stamps in the past 12 months among adults,charts/png/077_stacked_bar.png,charts/svg/077_stacked_bar.svg
078_stacked_bar,stacked_bar,Depression among adults,charts/png/078_stacked_bar.png,charts/svg/078_stacked_bar.svg
079_simple_bar,simple_bar,Cancer (non-skin) or melanoma among adults,charts/png/079_simple_bar.png,charts/svg/079_simple_bar.svg
080_stacked_bar,stacked_bar,Binge drinking among adults,charts/png/080_stacked_bar.png,charts/svg/080_stacked_bar.svg
081_stacked_bar,stacked_bar,Diagnosed diabetes among adults,charts/png/081_stacked_bar.png,charts/svg/081_stacked_bar.svg
082_simple_bar,simple_bar,Depression among adults,charts/png/082_simple_bar.png,charts/svg/082_simple_bar.svg
083_grouped_bar,grouped_bar,Current cigarette smoking among adults | Mammography use among women aged 50-74 years,charts/png/083_grouped_bar.png,charts/svg/083_grouped_bar.svg
084_simple_bar,simple_bar,Current lack of health insurance among adults aged 18-64 years,charts/png/084_simple_bar.png,charts/svg/084_simple_bar.svg
085_simple_bar,simple_bar,Lack of reliable transportation in the past 12 months among adults,charts/png/085_simple_bar.png,charts/svg/085_simple_bar.svg
086_grouped_bar,grouped_bar,Lack of social and emotional support among adults | Received food stamps in the past 12 months among adults,charts/png/086_grouped_bar.png,charts/svg/086_grouped_bar.svg
087_grouped_bar,grouped_bar,Self-care disability among adults | Short sleep duration among adults,charts/png/087_grouped_bar.png,charts/svg/087_grouped_bar.svg
088_simple_bar,simple_bar,Stroke among adults,charts/png/088_simple_bar.png,charts/svg/088_simple_bar.svg
089_grouped_bar,grouped_bar,Arthritis among adults | Any disability among adults,charts/png/089_grouped_bar.png,charts/svg/089_grouped_bar.svg
090_simple_bar,simple_bar,All teeth lost among adults aged >=65 years,charts/png/090_simple_bar.png,charts/svg/090_simple_bar.svg
